 

stn;time;brefard0
UEB;20080801;309
UEB;20080802;0
UEB;20080803;0
UEB;20080804;0
UEB;20080805;0
UEB;20080806;1
UEB;20080807;254
UEB;20080808;6
UEB;20080809;0
UEB;20080810;0
UEB;20080811;47
UEB;20080812;1
UEB;20080813;0
UEB;20080814;1
UEB;20080815;3
UEB;20080816;0
UEB;20080817;0
UEB;20080818;0
UEB;20080819;64
UEB;20080820;0
UEB;20080821;0
UEB;20080822;46
UEB;20080823;28
UEB;20080824;0
UEB;20080825;0
UEB;20080826;0
UEB;20080827;0
UEB;20080828;0
UEB;20080829;0
UEB;20080830;1
UEB;20080831;497
UEB;20080901;30
UEB;20080902;0
UEB;20080903;68
UEB;20080904;1
UEB;20080905;0
UEB;20080906;0
UEB;20080907;0
UEB;20080908;0
UEB;20080909;0
UEB;20080910;0
UEB;20080911;36
UEB;20080912;2
UEB;20080913;9
UEB;20080914;0
UEB;20080915;0
UEB;20080916;0
UEB;20080917;0
UEB;20080918;0
UEB;20080919;1
UEB;20080920;0
UEB;20080921;0
UEB;20080922;0
UEB;20080923;0
UEB;20080924;0
UEB;20080925;0
UEB;20080926;0
UEB;20080927;0
UEB;20080928;0
UEB;20080929;0
UEB;20080930;0
UEB;20081001;0
UEB;20081002;0
UEB;20081003;2
UEB;20081004;0
UEB;20081005;0
UEB;20081006;0
UEB;20081007;0
UEB;20081008;6
UEB;20081009;1
UEB;20081010;0
UEB;20081011;0
UEB;20081012;0
UEB;20081013;0
UEB;20081014;0
UEB;20081015;0
UEB;20081016;0
UEB;20081017;0
UEB;20081018;0
UEB;20081019;0
UEB;20081020;0
UEB;20081021;1
UEB;20081022;0
UEB;20081023;0
UEB;20081024;0
UEB;20081025;0
UEB;20081026;0
UEB;20081027;0
UEB;20081028;0
UEB;20081029;0
UEB;20081030;1
UEB;20081031;0
UEB;20081101;0
UEB;20081102;0
UEB;20081103;0
UEB;20081104;0
UEB;20081105;1
UEB;20081106;0
UEB;20081107;0
UEB;20081108;0
UEB;20081109;0
UEB;20081110;0
UEB;20081111;0
UEB;20081112;0
UEB;20081113;0
UEB;20081114;1
UEB;20081115;0
UEB;20081116;0
UEB;20081117;0
UEB;20081118;0
UEB;20081119;0
UEB;20081120;0
UEB;20081121;2
UEB;20081122;4
UEB;20081123;0
UEB;20081124;0
UEB;20081125;0
UEB;20081126;0
UEB;20081127;0
UEB;20081128;1
UEB;20081129;0
UEB;20081130;1
UEB;20081201;0
UEB;20081202;0
UEB;20081203;1
UEB;20081204;0
UEB;20081205;0
UEB;20081206;0
UEB;20081207;0
UEB;20081208;0
UEB;20081209;0
UEB;20081210;0
UEB;20081211;0
UEB;20081212;0
UEB;20081213;0
UEB;20081214;0
UEB;20081215;0
UEB;20081216;0
UEB;20081217;0
UEB;20081218;0
UEB;20081219;0
UEB;20081220;0
UEB;20081221;0
UEB;20081222;0
UEB;20081223;0
UEB;20081224;0
UEB;20081225;0
UEB;20081226;0
UEB;20081227;0
UEB;20081228;0
UEB;20081229;0
UEB;20081230;0
UEB;20081231;0
UEB;20090101;0
UEB;20090102;0
UEB;20090103;0
UEB;20090104;0
UEB;20090105;0
UEB;20090106;0
UEB;20090107;0
UEB;20090108;0
UEB;20090109;0
UEB;20090110;0
UEB;20090111;0
UEB;20090112;0
UEB;20090113;0
UEB;20090114;0
UEB;20090115;0
UEB;20090116;0
UEB;20090117;1
UEB;20090118;0
UEB;20090119;0
UEB;20090120;1
UEB;20090121;0
UEB;20090122;0
UEB;20090123;13
UEB;20090124;0
UEB;20090125;0
UEB;20090126;0
UEB;20090127;0
UEB;20090128;0
UEB;20090129;0
UEB;20090130;0
UEB;20090131;0
UEB;20090201;0
UEB;20090202;0
UEB;20090203;0
UEB;20090204;0
UEB;20090205;0
UEB;20090206;0
UEB;20090207;0
UEB;20090208;0
UEB;20090209;0
UEB;20090210;1
UEB;20090211;0
UEB;20090212;0
UEB;20090213;0
UEB;20090214;0
UEB;20090215;0
UEB;20090216;0
UEB;20090217;0
UEB;20090218;0
UEB;20090219;0
UEB;20090220;0
UEB;20090221;0
UEB;20090222;0
UEB;20090223;0
UEB;20090224;0
UEB;20090225;0
UEB;20090226;0
UEB;20090227;0
UEB;20090228;0
UEB;20090301;0
UEB;20090302;0
UEB;20090303;0
UEB;20090304;0
UEB;20090305;0
UEB;20090306;0
UEB;20090307;0
UEB;20090308;0
UEB;20090309;3
UEB;20090310;0
UEB;20090311;0
UEB;20090312;0
UEB;20090313;0
UEB;20090314;0
UEB;20090315;0
UEB;20090316;0
UEB;20090317;0
UEB;20090318;0
UEB;20090319;0
UEB;20090320;0
UEB;20090321;0
UEB;20090322;0
UEB;20090323;1
