Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93924

Filename                                Filetype  Station                              Parameter                                                   Period
order_93924_IYSAU_tre200d0_3_data.txt   Data      Salurn                               Air temperature 2 m above ground; daily mean                19871231-19890911
order_93924_IYSAU_tre200d0_3_legend.txt Legend    Salurn                               Air temperature 2 m above ground; daily mean                19871231-19890911
order_93924_IYSAU_tre200d0_4_data.txt   Data      Salurn                               Air temperature 2 m above ground; daily mean                19900331-19910222
order_93924_IYSAU_tre200d0_4_legend.txt Legend    Salurn                               Air temperature 2 m above ground; daily mean                19900331-19910222
order_93924_IYSAU_tre200d0_5_data.txt   Data      Salurn                               Air temperature 2 m above ground; daily mean                19910528-20210414
order_93924_IYSAU_tre200d0_5_legend.txt Legend    Salurn                               Air temperature 2 m above ground; daily mean                19910528-20210414
order_93924_GRVIT_tre200d0_1_data.txt   Data      San Vittore                          Air temperature 2 m above ground; daily mean                20180923-20210414
order_93924_GRVIT_tre200d0_1_legend.txt Legend    San Vittore                          Air temperature 2 m above ground; daily mean                20180923-20210414
order_93924_BLSIS_tre200d0_1_data.txt   Data      Sissach                              Air temperature 2 m above ground; daily mean                20181122-20210314
order_93924_BLSIS_tre200d0_1_legend.txt Legend    Sissach                              Air temperature 2 m above ground; daily mean                20181122-20210314
order_93924_SBO_tre200d0_1_data.txt     Data      Stabio                               Air temperature 2 m above ground; daily mean                19810711-20210414
order_93924_SBO_tre200d0_1_legend.txt   Legend    Stabio                               Air temperature 2 m above ground; daily mean                19810711-20210414
order_93924_DLSTR_tre200d0_1_data.txt   Data      Straubing                            Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLSTR_tre200d0_1_legend.txt Legend    Straubing                            Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLSTU_tre200d0_1_data.txt   Data      Stuttgart / Echterdingen             Air temperature 2 m above ground; daily mean                19521231-20210414
order_93924_DLSTU_tre200d0_1_legend.txt Legend    Stuttgart / Echterdingen             Air temperature 2 m above ground; daily mean                19521231-20210414
order_93924_DLSTS_tre200d0_1_data.txt   Data      Stuttgart / Schnarrenberg            Air temperature 2 m above ground; daily mean                20200830-20210414
order_93924_DLSTS_tre200d0_1_legend.txt Legend    Stuttgart / Schnarrenberg            Air temperature 2 m above ground; daily mean                20200830-20210414
order_93924_DLTHO_tre200d0_1_data.txt   Data      Tholey                               Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLTHO_tre200d0_1_legend.txt Legend    Tholey                               Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLTRI_tre200d0_1_data.txt   Data      Trier                                Air temperature 2 m above ground; daily mean                20200830-20210414
order_93924_DLTRI_tre200d0_1_legend.txt Legend    Trier                                Air temperature 2 m above ground; daily mean                20200830-20210414
order_93924_DLWAI_tre200d0_1_data.txt   Data      Waibstadt                            Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLWAI_tre200d0_1_legend.txt Legend    Waibstadt                            Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLWOL_tre200d0_1_data.txt   Data      Wolfach                              Air temperature 2 m above ground; daily mean                19571231-20210414
order_93924_DLWOL_tre200d0_1_legend.txt Legend    Wolfach                              Air temperature 2 m above ground; daily mean                19571231-20210414
order_93924_DLWOF_tre200d0_1_data.txt   Data      Wutöschingen-Ofteringen              Air temperature 2 m above ground; daily mean                19601231-20210414
order_93924_DLWOF_tre200d0_1_legend.txt Legend    Wutöschingen-Ofteringen              Air temperature 2 m above ground; daily mean                19601231-20210414
order_93924_PSI_tre200d0_1_data.txt     Data      Würenlingen / PSI                    Air temperature 2 m above ground; daily mean                19920114-19970630
order_93924_PSI_tre200d0_1_legend.txt   Legend    Würenlingen / PSI                    Air temperature 2 m above ground; daily mean                19920114-19970630
order_93924_PSI_tre200d0_2_data.txt     Data      Würenlingen / PSI                    Air temperature 2 m above ground; daily mean                19971231-20210414
order_93924_PSI_tre200d0_2_legend.txt   Legend    Würenlingen / PSI                    Air temperature 2 m above ground; daily mean                19971231-20210414
order_93924_DLWUR_tre200d0_1_data.txt   Data      Würzburg                             Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLWUR_tre200d0_1_legend.txt Legend    Würzburg                             Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLOHR_tre200d0_1_data.txt   Data      Öhringen                             Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLOHR_tre200d0_1_legend.txt Legend    Öhringen                             Air temperature 2 m above ground; daily mean                20200828-20210414
