Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94087

Filename                                Filetype  Station                              Parameter                                                   Period
order_94087_GEGFA_rre150m0_9_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200412-200602
order_94087_GEGFA_rre150m0_9_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200412-200602
order_94087_GEGFA_rre150m0_10_data.txt  Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200604-200608
order_94087_GEGFA_rre150m0_10_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200604-200608
order_94087_GEGFA_rre150m0_11_data.txt  Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200609-200705
order_94087_GEGFA_rre150m0_11_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200609-200705
order_94087_GEGFA_rre150m0_12_data.txt  Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200706-202103
order_94087_GEGFA_rre150m0_12_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200706-202103
order_94087_GEMIR_rre150m0_1_data.txt   Data      Chêne-Bourg / Mirany                 Precipitation; monthly total                                200801-200808
order_94087_GEMIR_rre150m0_1_legend.txt Legend    Chêne-Bourg / Mirany                 Precipitation; monthly total                                200801-200808
order_94087_GEMIR_rre150m0_2_data.txt   Data      Chêne-Bourg / Mirany                 Precipitation; monthly total                                200811-201007
order_94087_GEMIR_rre150m0_2_legend.txt Legend    Chêne-Bourg / Mirany                 Precipitation; monthly total                                200811-201007
order_94087_GEMIR_rre150m0_3_data.txt   Data      Chêne-Bourg / Mirany                 Precipitation; monthly total                                201008-201804
order_94087_GEMIR_rre150m0_3_legend.txt Legend    Chêne-Bourg / Mirany                 Precipitation; monthly total                                201008-201804
order_94087_VDCRA_rre150m0_1_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                199902-199911
order_94087_VDCRA_rre150m0_1_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                199902-199911
order_94087_VDCRA_rre150m0_2_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200002-200003
order_94087_VDCRA_rre150m0_2_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200002-200003
order_94087_VDCRA_rre150m0_3_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200006-200105
order_94087_VDCRA_rre150m0_3_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                200006-200105
order_94087_VDCRA_rre150m0_4_data.txt   Data      Crans-près-Céligny                   Precipitation; monthly total                                200107-200112
