 

stn;time;rhs150d0
SMA;18661019;0.0
SMA;18661020;0.0
SMA;18661021;0.7
SMA;18661022;0.3
SMA;18661023;2.3
SMA;18661024;5.7
SMA;18661025;0.0
SMA;18661026;10.9
SMA;18661027;0.0
SMA;18661028;0.0
SMA;18661029;0.3
SMA;18661030;0.0
SMA;18661031;0.0
SMA;18661101;0.0
SMA;18661102;0.0
SMA;18661103;0.0
SMA;18661104;0.0
SMA;18661105;0.0
SMA;18661106;0.3
SMA;18661107;0.0
SMA;18661108;0.4
SMA;18661109;0.0
SMA;18661110;21.7
SMA;18661111;0.0
SMA;18661112;4.4
SMA;18661113;4.1
SMA;18661114;2.2
SMA;18661115;0.8
SMA;18661116;0.0
SMA;18661117;16.3
SMA;18661118;0.3
SMA;18661119;6.5
SMA;18661120;0.2
SMA;18661121;0.2
SMA;18661122;0.1
SMA;18661123;0.0
SMA;18661124;6.8
SMA;18661125;6.3
SMA;18661126;17.5
SMA;18661127;9.7
SMA;18661128;7.3
SMA;18661129;3.2
SMA;18661130;0.0
SMA;18661201;0.0
SMA;18661202;0.0
SMA;18661203;16.5
SMA;18661204;0.0
SMA;18661205;0.0
SMA;18661206;0.0
SMA;18661207;0.0
SMA;18661208;7.7
SMA;18661209;10.1
SMA;18661210;0.0
SMA;18661211;2.9
SMA;18661212;0.0
SMA;18661213;13.0
SMA;18661214;5.2
SMA;18661215;20.5
SMA;18661216;19.1
SMA;18661217;17.5
SMA;18661218;0.2
SMA;18661219;0.0
SMA;18661220;0.0
SMA;18661221;0.0
SMA;18661222;0.0
SMA;18661223;0.0
SMA;18661224;0.0
SMA;18661225;0.0
SMA;18661226;0.0
SMA;18661227;0.9
SMA;18661228;1.3
SMA;18661229;0.3
SMA;18661230;0.0
SMA;18661231;15.4
SMA;18670101;3.3
SMA;18670102;0.2
SMA;18670103;0.2
SMA;18670104;0.0
SMA;18670105;0.0
SMA;18670106;2.7
SMA;18670107;8.8
SMA;18670108;1.4
SMA;18670109;11.4
SMA;18670110;10.8
SMA;18670111;0.2
SMA;18670112;18.6
SMA;18670113;0.9
SMA;18670114;5.2
SMA;18670115;11.5
SMA;18670116;10.5
SMA;18670117;0.0
SMA;18670118;0.0
SMA;18670119;0.1
SMA;18670120;0.0
SMA;18670121;2.7
SMA;18670122;4.6
SMA;18670123;2.0
SMA;18670124;3.7
SMA;18670125;0.2
SMA;18670126;0.0
SMA;18670127;12.8
SMA;18670128;8.6
SMA;18670129;12.8
SMA;18670130;0.0
SMA;18670131;1.1
SMA;18670201;0.0
SMA;18670202;0.0
SMA;18670203;4.9
SMA;18670204;0.0
SMA;18670205;2.6
SMA;18670206;9.8
SMA;18670207;3.9
SMA;18670208;0.8
SMA;18670209;0.5
SMA;18670210;0.0
SMA;18670211;0.0
SMA;18670212;0.0
SMA;18670213;0.0
SMA;18670214;0.0
SMA;18670215;0.0
SMA;18670216;0.0
SMA;18670217;0.0
SMA;18670218;0.0
SMA;18670219;0.0
