Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95465

Filename                                Filetype  Station                              Parameter                                                   Period
order_95465_DLDRE_rre002mx_2_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum 2-day total of the month             196010-201406
order_95465_DLDRE_rre002mx_3_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum 2-day total of the month             201605-202105
order_95465_DLDRE_rre002mx_3_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum 2-day total of the month             201605-202105
order_95465_DLEMM_rre002mx_1_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum 2-day total of the month             196012-197510
order_95465_DLEMM_rre002mx_1_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum 2-day total of the month             196012-197510
order_95465_DLEMM_rre002mx_2_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum 2-day total of the month             201605-202105
order_95465_DLEMM_rre002mx_2_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum 2-day total of the month             201605-202105
order_95465_DLERF_rre002mx_1_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum 2-day total of the month             195110-201406
order_95465_DLERF_rre002mx_1_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum 2-day total of the month             195110-201406
order_95465_DLERF_rre002mx_2_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum 2-day total of the month             201605-202105
order_95465_DLERF_rre002mx_2_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum 2-day total of the month             201605-202105
order_95465_ERL_rre002mx_1_data.txt     Data      Erlenpumpwerk                        Precipitation; maximum 2-day total of the month             196812-199507
order_95465_ERL_rre002mx_1_legend.txt   Legend    Erlenpumpwerk                        Precipitation; maximum 2-day total of the month             196812-199507
order_95465_WOB_rre002mx_1_data.txt     Data      Ermatingen                           Precipitation; maximum 2-day total of the month             196812-197212
order_95465_WOB_rre002mx_1_legend.txt   Legend    Ermatingen                           Precipitation; maximum 2-day total of the month             196812-197212
order_95465_WOB_rre002mx_2_data.txt     Data      Ermatingen                           Precipitation; maximum 2-day total of the month             197712-201112
order_95465_WOB_rre002mx_2_legend.txt   Legend    Ermatingen                           Precipitation; maximum 2-day total of the month             197712-201112
order_95465_KAETT_rre002mx_1_data.txt   Data      Ettingen                             Precipitation; maximum 2-day total of the month             201811-202012
order_95465_KAETT_rre002mx_1_legend.txt Legend    Ettingen                             Precipitation; maximum 2-day total of the month             201811-202012
order_95465_KAETT_rre002mx_2_data.txt   Data      Ettingen                             Precipitation; maximum 2-day total of the month             202103-202105
order_95465_KAETT_rre002mx_2_legend.txt Legend    Ettingen                             Precipitation; maximum 2-day total of the month             202103-202105
order_95465_FRF_rre002mx_1_data.txt     Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             186312-187305
order_95465_FRF_rre002mx_1_legend.txt   Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             186312-187305
order_95465_FRF_rre002mx_2_data.txt     Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             187812-202105
order_95465_FRF_rre002mx_2_legend.txt   Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             187812-202105
order_95465_TGFRA_rre002mx_1_data.txt   Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             201008-201303
order_95465_TGFRA_rre002mx_1_legend.txt Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             201008-201303
order_95465_TGFRA_rre002mx_2_data.txt   Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             201304-201308
order_95465_TGFRA_rre002mx_2_legend.txt Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             201304-201308
order_95465_TGFRA_rre002mx_3_data.txt   Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             201309-201404
order_95465_TGFRA_rre002mx_3_legend.txt Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             201309-201404
order_95465_TGFRA_rre002mx_4_data.txt   Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             201405-201504
order_95465_TGFRA_rre002mx_4_legend.txt Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             201405-201504
order_95465_TGFRA_rre002mx_5_data.txt   Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             201506-201507
order_95465_TGFRA_rre002mx_5_legend.txt Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             201506-201507
order_95465_TGFRA_rre002mx_6_data.txt   Data      Frauenfeld                           Precipitation; maximum 2-day total of the month             201508-202105
order_95465_TGFRA_rre002mx_6_legend.txt Legend    Frauenfeld                           Precipitation; maximum 2-day total of the month             201508-202105
order_95465_DLFRB_rre002mx_1_data.txt   Data      Freiburg                             Precipitation; maximum 2-day total of the month             192012-192212
order_95465_DLFRB_rre002mx_1_legend.txt Legend    Freiburg                             Precipitation; maximum 2-day total of the month             192012-192212
order_95465_DLFRB_rre002mx_2_data.txt   Data      Freiburg                             Precipitation; maximum 2-day total of the month             192301-192405
order_95465_DLFRB_rre002mx_2_legend.txt Legend    Freiburg                             Precipitation; maximum 2-day total of the month             192301-192405
order_95465_DLFRB_rre002mx_3_data.txt   Data      Freiburg                             Precipitation; maximum 2-day total of the month             192406-193412
order_95465_DLFRB_rre002mx_3_legend.txt Legend    Freiburg                             Precipitation; maximum 2-day total of the month             192406-193412
order_95465_DLFRB_rre002mx_4_data.txt   Data      Freiburg                             Precipitation; maximum 2-day total of the month             201604-201805
order_95465_DLFRB_rre002mx_4_legend.txt Legend    Freiburg                             Precipitation; maximum 2-day total of the month             201604-201805
order_95465_DLFRB_rre002mx_5_data.txt   Data      Freiburg                             Precipitation; maximum 2-day total of the month             201806-202105
order_95465_DLFRB_rre002mx_5_legend.txt Legend    Freiburg                             Precipitation; maximum 2-day total of the month             201806-202105
order_95465_FRI_rre002mx_1_data.txt     Data      Frick                                Precipitation; maximum 2-day total of the month             192506-202105
order_95465_FRI_rre002mx_1_legend.txt   Legend    Frick                                Precipitation; maximum 2-day total of the month             192506-202105
order_95465_AGFRI_rre002mx_1_data.txt   Data      Frick                                Precipitation; maximum 2-day total of the month             200812-201406
order_95465_AGFRI_rre002mx_1_legend.txt Legend    Frick                                Precipitation; maximum 2-day total of the month             200812-201406
order_95465_AGFRI_rre002mx_2_data.txt   Data      Frick                                Precipitation; maximum 2-day total of the month             201410-202105
order_95465_AGFRI_rre002mx_2_legend.txt Legend    Frick                                Precipitation; maximum 2-day total of the month             201410-202105
order_95465_IYGAR_rre002mx_1_data.txt   Data      Gargazon                             Precipitation; maximum 2-day total of the month             201612-201909
order_95465_IYGAR_rre002mx_1_legend.txt Legend    Gargazon                             Precipitation; maximum 2-day total of the month             201612-201909
order_95465_IYGAR_rre002mx_2_data.txt   Data      Gargazon                             Precipitation; maximum 2-day total of the month             201910-202002
order_95465_IYGAR_rre002mx_2_legend.txt Legend    Gargazon                             Precipitation; maximum 2-day total of the month             201910-202002
order_95465_IYGAR_rre002mx_3_data.txt   Data      Gargazon                             Precipitation; maximum 2-day total of the month             202005-202006
order_95465_IYGAR_rre002mx_3_legend.txt Legend    Gargazon                             Precipitation; maximum 2-day total of the month             202005-202006
order_95465_IYGAR_rre002mx_4_data.txt   Data      Gargazon                             Precipitation; maximum 2-day total of the month             202007-202009
order_95465_IYGAR_rre002mx_4_legend.txt Legend    Gargazon                             Precipitation; maximum 2-day total of the month             202007-202009
order_95465_IYGAR_rre002mx_5_data.txt   Data      Gargazon                             Precipitation; maximum 2-day total of the month             202010-202011
order_95465_IYGAR_rre002mx_5_legend.txt Legend    Gargazon                             Precipitation; maximum 2-day total of the month             202010-202011
order_95465_IYGAR_rre002mx_6_data.txt   Data      Gargazon                             Precipitation; maximum 2-day total of the month             202012-202105
order_95465_IYGAR_rre002mx_6_legend.txt Legend    Gargazon                             Precipitation; maximum 2-day total of the month             202012-202105
order_95465_GEA_rre002mx_1_data.txt     Data      Genève / Aïre                        Precipitation; maximum 2-day total of the month             196712-202105
order_95465_GEA_rre002mx_1_legend.txt   Legend    Genève / Aïre                        Precipitation; maximum 2-day total of the month             196712-202105
