 

stn;time;breclod0
MBA;20081222;0
MBA;20081223;0
MBA;20081224;0
MBA;20081225;0
MBA;20081226;0
MBA;20081227;0
MBA;20081228;0
MBA;20081229;0
MBA;20081230;0
MBA;20081231;0
MBA;20090101;0
MBA;20090102;0
MBA;20090103;0
MBA;20090104;0
MBA;20090105;0
MBA;20090106;0
MBA;20090107;0
MBA;20090108;0
MBA;20090109;0
MBA;20090110;0
MBA;20090111;0
MBA;20090112;0
MBA;20090113;0
MBA;20090114;0
MBA;20090115;0
MBA;20090116;0
MBA;20090117;0
MBA;20090118;0
MBA;20090119;0
MBA;20090120;0
MBA;20090121;0
MBA;20090122;0
MBA;20090123;4
MBA;20090124;0
MBA;20090125;0
MBA;20090126;0
MBA;20090127;0
MBA;20090128;0
MBA;20090129;0
MBA;20090130;0
MBA;20090131;0
MBA;20090201;0
MBA;20090202;0
MBA;20090203;0
MBA;20090204;0
MBA;20090205;0
MBA;20090206;0
MBA;20090207;0
MBA;20090208;0
MBA;20090209;0
MBA;20090210;0
MBA;20090211;0
MBA;20090212;0
MBA;20090213;0
MBA;20090214;0
MBA;20090215;0
MBA;20090216;0
MBA;20090217;0
MBA;20090218;0
MBA;20090219;0
MBA;20090220;0
MBA;20090221;0
MBA;20090222;0
MBA;20090223;0
MBA;20090224;0
MBA;20090225;0
MBA;20090226;0
MBA;20090227;0
MBA;20090228;0
MBA;20090301;0
MBA;20090302;0
MBA;20090303;0
MBA;20090304;0
MBA;20090305;0
MBA;20090306;0
MBA;20090307;0
MBA;20090308;0
MBA;20090309;0
MBA;20090310;0
MBA;20090311;0
MBA;20090312;0
MBA;20090313;0
MBA;20090314;0
MBA;20090315;0
MBA;20090316;0
MBA;20090317;0
MBA;20090318;0
MBA;20090319;0
MBA;20090320;0
MBA;20090321;0
MBA;20090322;0
MBA;20090323;0
