Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94075

Filename                                Filetype  Station                              Parameter                                                   Period
order_94075_GIH_rhh150mx_5_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201305-201404
order_94075_GIH_rhh150mx_6_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201405-201610
order_94075_GIH_rhh150mx_6_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201405-201610
order_94075_GIH_rhh150mx_7_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201611-201807
order_94075_GIH_rhh150mx_7_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201611-201807
order_94075_GIH_rhh150mx_8_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201808-202103
order_94075_GIH_rhh150mx_8_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201808-202103
order_94075_GLA_rhh150mx_1_data.txt     Data      Glarus                               Precipitation; maximum total per hour of the month          198012-202103
order_94075_GLA_rhh150mx_1_legend.txt   Legend    Glarus                               Precipitation; maximum total per hour of the month          198012-202103
order_94075_GLGLA_rhh150mx_1_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          201309-201310
order_94075_GLGLA_rhh150mx_1_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          201309-201310
order_94075_GLGLA_rhh150mx_2_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          201311-201404
order_94075_GLGLA_rhh150mx_2_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          201311-201404
order_94075_GLGLA_rhh150mx_3_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          201405-201406
order_94075_GLGLA_rhh150mx_3_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          201405-201406
order_94075_GLGLA_rhh150mx_4_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          201408-201412
order_94075_GLGLA_rhh150mx_4_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          201408-201412
order_94075_GLGLA_rhh150mx_5_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          201612-201910
order_94075_GLGLA_rhh150mx_5_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          201612-201910
order_94075_GLGLA_rhh150mx_6_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          201911-202005
order_94075_GLGLA_rhh150mx_6_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          201911-202005
order_94075_GLGLA_rhh150mx_7_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          202007-202008
order_94075_GLGLA_rhh150mx_7_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          202007-202008
order_94075_GLGLA_rhh150mx_8_data.txt   Data      Glarus                               Precipitation; maximum total per hour of the month          202009-202102
order_94075_GLGLA_rhh150mx_8_legend.txt Legend    Glarus                               Precipitation; maximum total per hour of the month          202009-202102
order_94075_SOGRE_rhh150mx_1_data.txt   Data      Grenchen                             Precipitation; maximum total per hour of the month          199912-201410
order_94075_SOGRE_rhh150mx_1_legend.txt Legend    Grenchen                             Precipitation; maximum total per hour of the month          199912-201410
order_94075_SOGRE_rhh150mx_2_data.txt   Data      Grenchen                             Precipitation; maximum total per hour of the month          201411-201505
order_94075_SOGRE_rhh150mx_2_legend.txt Legend    Grenchen                             Precipitation; maximum total per hour of the month          201411-201505
order_94075_DLHAR_rhh150mx_1_data.txt   Data      Harburg                              Precipitation; maximum total per hour of the month          202008-202103
order_94075_DLHAR_rhh150mx_1_legend.txt Legend    Harburg                              Precipitation; maximum total per hour of the month          202008-202103
order_94075_LUHOC_rhh150mx_1_data.txt   Data      Hochdorf                             Precipitation; maximum total per hour of the month          199912-201710
order_94075_LUHOC_rhh150mx_1_legend.txt Legend    Hochdorf                             Precipitation; maximum total per hour of the month          199912-201710
order_94075_LUHOC_rhh150mx_2_data.txt   Data      Hochdorf                             Precipitation; maximum total per hour of the month          201712-201812
order_94075_LUHOC_rhh150mx_2_legend.txt Legend    Hochdorf                             Precipitation; maximum total per hour of the month          201712-201812
order_94075_LUHOC_rhh150mx_3_data.txt   Data      Hochdorf                             Precipitation; maximum total per hour of the month          201902-202102
order_94075_LUHOC_rhh150mx_3_legend.txt Legend    Hochdorf                             Precipitation; maximum total per hour of the month          201902-202102
