Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94867

Filename                                Filetype  Station                              Parameter                                                   Period
order_94867_DLEMM_rzz150mx_1_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLERF_rzz150mx_1_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLERF_rzz150mx_1_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGERM_rzz150mx_1_data.txt   Data      Ermatingen                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGERM_rzz150mx_1_legend.txt Legend    Ermatingen                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_ESZ_rzz150mx_1_data.txt     Data      Eschenz                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_ESZ_rzz150mx_1_legend.txt   Legend    Eschenz                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_KAETT_rzz150mx_1_data.txt   Data      Ettingen                             Precipitation; maximum ten minute total of the month        202103-202104
order_94867_KAETT_rzz150mx_1_legend.txt Legend    Ettingen                             Precipitation; maximum ten minute total of the month        202103-202104
order_94867_EVI_rzz150mx_1_data.txt     Data      Evionnaz                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_EVI_rzz150mx_1_legend.txt   Legend    Evionnaz                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_AGFAW_rzz150mx_1_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_AGFAW_rzz150mx_1_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_FAH_rzz150mx_1_data.txt     Data      Fahy                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_FAH_rzz150mx_1_legend.txt   Legend    Fahy                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFEL_rzz150mx_1_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFEL_rzz150mx_1_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFEU_rzz150mx_1_data.txt   Data      Feuchtwangen / Heilbronn             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFEU_rzz150mx_1_legend.txt Legend    Feuchtwangen / Heilbronn             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_FLW_rzz150mx_1_data.txt     Data      Flawil                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_FLW_rzz150mx_1_legend.txt   Legend    Flawil                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDFOL_rzz150mx_1_data.txt   Data      Forel                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDFOL_rzz150mx_1_legend.txt Legend    Forel                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLHAH_rzz150mx_1_data.txt   Data      Frankfurt / Hahn Flughafen           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLHAH_rzz150mx_1_legend.txt Legend    Frankfurt / Hahn Flughafen           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGFRA_rzz150mx_1_data.txt   Data      Frauenfeld                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGFRA_rzz150mx_1_legend.txt Legend    Frauenfeld                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFRB_rzz150mx_1_data.txt   Data      Freiburg                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFRB_rzz150mx_1_legend.txt Legend    Freiburg                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GRA_rzz150mx_1_data.txt     Data      Fribourg / Grangeneuve               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GRA_rzz150mx_1_legend.txt   Legend    Fribourg / Grangeneuve               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_AGFRI_rzz150mx_1_data.txt   Data      Frick                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_AGFRI_rzz150mx_1_legend.txt Legend    Frick                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFRH_rzz150mx_1_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFRH_rzz150mx_1_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDFEC_rzz150mx_1_data.txt   Data      Féchy                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDFEC_rzz150mx_1_legend.txt Legend    Féchy                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFUR_rzz150mx_1_data.txt   Data      Fürstenzell                          Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLFUR_rzz150mx_1_legend.txt Legend    Fürstenzell                          Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGEI_rzz150mx_1_data.txt   Data      Geisingen                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGEI_rzz150mx_1_legend.txt Legend    Geisingen                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGEL_rzz150mx_1_data.txt   Data      Gelbelsee                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGEL_rzz150mx_1_legend.txt Legend    Gelbelsee                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDGEN_rzz150mx_1_data.txt   Data      Genoiler                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDGEN_rzz150mx_1_legend.txt Legend    Genoiler                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GVE_rzz150mx_1_data.txt     Data      Genève / Cointrin                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GVE_rzz150mx_1_legend.txt   Legend    Genève / Cointrin                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GEDDU_rzz150mx_1_data.txt   Data      Genève / David-Dufour                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GEDDU_rzz150mx_1_legend.txt Legend    Genève / David-Dufour                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GEERM_rzz150mx_1_data.txt   Data      Genève / L'Ermitage                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GEERM_rzz150mx_1_legend.txt Legend    Genève / L'Ermitage                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GES_rzz150mx_1_data.txt     Data      Gersau                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GES_rzz150mx_1_legend.txt   Legend    Gersau                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GIH_rzz150mx_1_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GIH_rzz150mx_1_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GLA_rzz150mx_1_data.txt     Data      Glarus                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GLA_rzz150mx_1_legend.txt   Legend    Glarus                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GLGLA_rzz150mx_1_data.txt   Data      Glarus                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GLGLA_rzz150mx_1_legend.txt Legend    Glarus                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGOT_rzz150mx_1_data.txt   Data      Gottfrieding                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGOT_rzz150mx_1_legend.txt Legend    Gottfrieding                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGTT_rzz150mx_1_data.txt   Data      Gottmadingen                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLGTT_rzz150mx_1_legend.txt Legend    Gottmadingen                         Precipitation; maximum ten minute total of the month        202102-202104
