Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94908

Filename                                Filetype  Station                              Parameter                                                   Period
order_94908_IYGAR_rti150yx_1_legend.txt Legend    Gargazon                             Precipitation; date of the maximum daily total of the year  2016-2019
order_94908_GEA_rti150yx_1_data.txt     Data      Genève / Aïre                        Precipitation; date of the maximum daily total of the year  1967-2020
order_94908_GEA_rti150yx_1_legend.txt   Legend    Genève / Aïre                        Precipitation; date of the maximum daily total of the year  1967-2020
order_94908_GEDDU_rti150yx_1_data.txt   Data      Genève / David-Dufour                Precipitation; date of the maximum daily total of the year  2004-2011
order_94908_GEDDU_rti150yx_1_legend.txt Legend    Genève / David-Dufour                Precipitation; date of the maximum daily total of the year  2004-2011
order_94908_GEDDU_rti150yx_2_data.txt   Data      Genève / David-Dufour                Precipitation; date of the maximum daily total of the year  2012-2020
order_94908_GEDDU_rti150yx_2_legend.txt Legend    Genève / David-Dufour                Precipitation; date of the maximum daily total of the year  2012-2020
order_94908_GEBTQ_rti150yx_1_data.txt   Data      Genève / Jardin Botanique            Precipitation; date of the maximum daily total of the year  2005-2009
order_94908_GEBTQ_rti150yx_1_legend.txt Legend    Genève / Jardin Botanique            Precipitation; date of the maximum daily total of the year  2005-2009
order_94908_GEBTQ_rti150yx_2_data.txt   Data      Genève / Jardin Botanique            Precipitation; date of the maximum daily total of the year  2012-2014
order_94908_GEBTQ_rti150yx_2_legend.txt Legend    Genève / Jardin Botanique            Precipitation; date of the maximum daily total of the year  2012-2014
order_94908_TIGIU_rti150yx_1_data.txt   Data      Giubiasco                            Precipitation; date of the maximum daily total of the year  1987-2020
order_94908_TIGIU_rti150yx_1_legend.txt Legend    Giubiasco                            Precipitation; date of the maximum daily total of the year  1987-2020
order_94908_TIGNO_rti150yx_1_data.txt   Data      Gnosca                               Precipitation; date of the maximum daily total of the year  1978-2020
order_94908_TIGNO_rti150yx_1_legend.txt Legend    Gnosca                               Precipitation; date of the maximum daily total of the year  1978-2020
order_94908_TIGRA_rti150yx_1_data.txt   Data      Grancia                              Precipitation; date of the maximum daily total of the year  2006-2020
order_94908_TIGRA_rti150yx_1_legend.txt Legend    Grancia                              Precipitation; date of the maximum daily total of the year  2006-2020
order_94908_GLI_rti150yx_1_data.txt     Data      Grellingen                           Precipitation; date of the maximum daily total of the year  1960-1994
order_94908_GLI_rti150yx_1_legend.txt   Legend    Grellingen                           Precipitation; date of the maximum daily total of the year  1960-1994
order_94908_GRO_rti150yx_1_data.txt     Data      Grono                                Precipitation; date of the maximum daily total of the year  1900-2020
order_94908_GRO_rti150yx_1_legend.txt   Legend    Grono                                Precipitation; date of the maximum daily total of the year  1900-2020
order_94908_GOE_rti150yx_1_data.txt     Data      Gösgen                               Precipitation; date of the maximum daily total of the year  1988-2015
order_94908_GOE_rti150yx_1_legend.txt   Legend    Gösgen                               Precipitation; date of the maximum daily total of the year  1988-2015
order_94908_GOE_rti150yx_2_data.txt     Data      Gösgen                               Precipitation; date of the maximum daily total of the year  2016-2020
order_94908_GOE_rti150yx_2_legend.txt   Legend    Gösgen                               Precipitation; date of the maximum daily total of the year  2016-2020
order_94908_MMIBG_rti150yx_1_data.txt   Data      Isole di Brissago                    Precipitation; date of the maximum daily total of the year  2012-2013
order_94908_MMIBG_rti150yx_1_legend.txt Legend    Isole di Brissago                    Precipitation; date of the maximum daily total of the year  2012-2013
order_94908_MMIBG_rti150yx_2_data.txt   Data      Isole di Brissago                    Precipitation; date of the maximum daily total of the year  2016-2020
order_94908_MMIBG_rti150yx_2_legend.txt Legend    Isole di Brissago                    Precipitation; date of the maximum daily total of the year  2016-2020
order_94908_KAI_rti150yx_1_data.txt     Data      Kaiserstuhl, AG                      Precipitation; date of the maximum daily total of the year  1900-1903
order_94908_KAI_rti150yx_1_legend.txt   Legend    Kaiserstuhl, AG                      Precipitation; date of the maximum daily total of the year  1900-1903
order_94908_KAI_rti150yx_2_data.txt     Data      Kaiserstuhl, AG                      Precipitation; date of the maximum daily total of the year  1908-2011
order_94908_KAI_rti150yx_2_legend.txt   Legend    Kaiserstuhl, AG                      Precipitation; date of the maximum daily total of the year  1908-2011
order_94908_KAI_rti150yx_3_data.txt     Data      Kaiserstuhl, AG                      Precipitation; date of the maximum daily total of the year  2012-2020
order_94908_KAI_rti150yx_3_legend.txt   Legend    Kaiserstuhl, AG                      Precipitation; date of the maximum daily total of the year  2012-2020
order_94908_AGKST_rti150yx_1_data.txt   Data      Kaisten                              Precipitation; date of the maximum daily total of the year  2006-2008
order_94908_AGKST_rti150yx_1_legend.txt Legend    Kaisten                              Precipitation; date of the maximum daily total of the year  2006-2008
order_94908_AGKST_rti150yx_2_data.txt   Data      Kaisten                              Precipitation; date of the maximum daily total of the year  2010-2012
order_94908_AGKST_rti150yx_2_legend.txt Legend    Kaisten                              Precipitation; date of the maximum daily total of the year  2010-2012
order_94908_AGKST_rti150yx_3_data.txt   Data      Kaisten                              Precipitation; date of the maximum daily total of the year  2014-2020
order_94908_AGKST_rti150yx_3_legend.txt Legend    Kaisten                              Precipitation; date of the maximum daily total of the year  2014-2020
order_94908_KLU_rti150yx_1_data.txt     Data      Klus Aesch BL                        Precipitation; date of the maximum daily total of the year  1968-1977
order_94908_KLU_rti150yx_1_legend.txt   Legend    Klus Aesch BL                        Precipitation; date of the maximum daily total of the year  1968-1977
order_94908_TGKRE_rti150yx_1_data.txt   Data      Kreuzlingen                          Precipitation; date of the maximum daily total of the year  2010-2014
order_94908_TGKRE_rti150yx_1_legend.txt Legend    Kreuzlingen                          Precipitation; date of the maximum daily total of the year  2010-2014
order_94908_TGKRE_rti150yx_2_data.txt   Data      Kreuzlingen                          Precipitation; date of the maximum daily total of the year  2015-2020
order_94908_TGKRE_rti150yx_2_legend.txt Legend    Kreuzlingen                          Precipitation; date of the maximum daily total of the year  2015-2020
order_94908_IYLAI_rti150yx_1_data.txt   Data      Laimburg                             Precipitation; date of the maximum daily total of the year  2009-2019
order_94908_IYLAI_rti150yx_1_legend.txt Legend    Laimburg                             Precipitation; date of the maximum daily total of the year  2009-2019
order_94908_LFB_rti150yx_1_data.txt     Data      Laufenburg                           Precipitation; date of the maximum daily total of the year  1913-2020
order_94908_LFB_rti150yx_1_legend.txt   Legend    Laufenburg                           Precipitation; date of the maximum daily total of the year  1913-2020
order_94908_LAV_rti150yx_1_data.txt     Data      Lausanne-Vidy                        Precipitation; date of the maximum daily total of the year  1968-1974
order_94908_LAV_rti150yx_1_legend.txt   Legend    Lausanne-Vidy                        Precipitation; date of the maximum daily total of the year  1968-1974
order_94908_LEI_rti150yx_1_data.txt     Data      Leibstadt                            Precipitation; date of the maximum daily total of the year  1988-2020
order_94908_LEI_rti150yx_1_legend.txt   Legend    Leibstadt                            Precipitation; date of the maximum daily total of the year  1988-2020
order_94908_BLLIT_rti150yx_1_data.txt   Data      Liestal                              Precipitation; date of the maximum daily total of the year  2018-2019
order_94908_BLLIT_rti150yx_1_legend.txt Legend    Liestal                              Precipitation; date of the maximum daily total of the year  2018-2019
