Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95483

Filename                                Filetype  Station                              Parameter                                                   Period
order_95483_MMFRS_rre003mx_7_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201903-201905
order_95483_MMFRS_rre003mx_8_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201906-201908
order_95483_MMFRS_rre003mx_8_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201906-201908
order_95483_MMFRS_rre003mx_9_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201909-202105
order_95483_MMFRS_rre003mx_9_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201909-202105
order_95483_DLFRS_rre003mx_1_data.txt   Data      Freudenstadt                         Precipitation; maximum 3-day total of the month             201605-202105
order_95483_DLFRS_rre003mx_1_legend.txt Legend    Freudenstadt                         Precipitation; maximum 3-day total of the month             201605-202105
order_95483_FRC_rre003mx_1_data.txt     Data      Fruence                              Precipitation; maximum 3-day total of the month             197612-201008
order_95483_FRC_rre003mx_1_legend.txt   Legend    Fruence                              Precipitation; maximum 3-day total of the month             197612-201008
order_95483_FRC_rre003mx_2_data.txt     Data      Fruence                              Precipitation; maximum 3-day total of the month             201009-202105
order_95483_FRC_rre003mx_2_legend.txt   Legend    Fruence                              Precipitation; maximum 3-day total of the month             201009-202105
order_95483_FRU_rre003mx_1_data.txt     Data      Frutigen                             Precipitation; maximum 3-day total of the month             190012-191410
order_95483_FRU_rre003mx_1_legend.txt   Legend    Frutigen                             Precipitation; maximum 3-day total of the month             190012-191410
order_95483_FRU_rre003mx_2_data.txt     Data      Frutigen                             Precipitation; maximum 3-day total of the month             191412-200702
order_95483_FRU_rre003mx_2_legend.txt   Legend    Frutigen                             Precipitation; maximum 3-day total of the month             191412-200702
order_95483_FRU_rre003mx_3_data.txt     Data      Frutigen                             Precipitation; maximum 3-day total of the month             200704-202105
order_95483_FRU_rre003mx_3_legend.txt   Legend    Frutigen                             Precipitation; maximum 3-day total of the month             200704-202105
order_95483_GSS_rre003mx_1_data.txt     Data      Gross, SZ                            Precipitation; maximum 3-day total of the month             197212-202105
order_95483_GSS_rre003mx_1_legend.txt   Legend    Gross, SZ                            Precipitation; maximum 3-day total of the month             197212-202105
order_95483_GHS_rre003mx_1_data.txt     Data      Grosshöchstetten                     Precipitation; maximum 3-day total of the month             190012-201706
order_95483_GHS_rre003mx_1_legend.txt   Legend    Grosshöchstetten                     Precipitation; maximum 3-day total of the month             190012-201706
order_95483_GHS_rre003mx_2_data.txt     Data      Grosshöchstetten                     Precipitation; maximum 3-day total of the month             201707-201905
order_95483_GHS_rre003mx_2_legend.txt   Legend    Grosshöchstetten                     Precipitation; maximum 3-day total of the month             201707-201905
order_95483_GHS_rre003mx_3_data.txt     Data      Grosshöchstetten                     Precipitation; maximum 3-day total of the month             201906-202105
order_95483_GHS_rre003mx_3_legend.txt   Legend    Grosshöchstetten                     Precipitation; maximum 3-day total of the month             201906-202105
order_95483_GUG_rre003mx_1_data.txt     Data      Guglera                              Precipitation; maximum 3-day total of the month             190012-190104
order_95483_GUG_rre003mx_1_legend.txt   Legend    Guglera                              Precipitation; maximum 3-day total of the month             190012-190104
order_95483_GUG_rre003mx_2_data.txt     Data      Guglera                              Precipitation; maximum 3-day total of the month             190105-190311
order_95483_GUG_rre003mx_2_legend.txt   Legend    Guglera                              Precipitation; maximum 3-day total of the month             190105-190311
