Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94067

Filename                                Filetype  Station                              Parameter                                                   Period
order_94067_FLU_rzz150mx_1_legend.txt   Legend    Flühli, LU                           Precipitation; maximum ten minute total of the month        201510-202103
order_94067_GTT_rzz150mx_1_data.txt     Data      Guttannen                            Precipitation; maximum ten minute total of the month        201401-201811
order_94067_GTT_rzz150mx_1_legend.txt   Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201401-201811
order_94067_GTT_rzz150mx_2_data.txt     Data      Guttannen                            Precipitation; maximum ten minute total of the month        201812-202103
order_94067_GTT_rzz150mx_2_legend.txt   Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201812-202103
order_94067_MMGTT_rzz150mx_1_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        201608-201612
order_94067_MMGTT_rzz150mx_1_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201608-201612
order_94067_MMGTT_rzz150mx_2_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        201701-201803
order_94067_MMGTT_rzz150mx_2_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201701-201803
order_94067_MMGTT_rzz150mx_3_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        201804-201806
order_94067_MMGTT_rzz150mx_3_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201804-201806
order_94067_MMGTT_rzz150mx_4_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        201807-201808
order_94067_MMGTT_rzz150mx_4_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201807-201808
order_94067_MMGTT_rzz150mx_5_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        201812-201906
order_94067_MMGTT_rzz150mx_5_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201812-201906
order_94067_MMGTT_rzz150mx_6_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        201907-201908
order_94067_MMGTT_rzz150mx_6_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201907-201908
order_94067_MMGTT_rzz150mx_7_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        201909-202007
order_94067_MMGTT_rzz150mx_7_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        201909-202007
order_94067_MMGTT_rzz150mx_8_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        202008-202012
order_94067_MMGTT_rzz150mx_8_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        202008-202012
order_94067_MMGTT_rzz150mx_9_data.txt   Data      Guttannen                            Precipitation; maximum ten minute total of the month        202101-202103
order_94067_MMGTT_rzz150mx_9_legend.txt Legend    Guttannen                            Precipitation; maximum ten minute total of the month        202101-202103
order_94067_GOS_rzz150mx_1_data.txt     Data      Göschenen                            Precipitation; maximum ten minute total of the month        201602-201711
order_94067_GOS_rzz150mx_1_legend.txt   Legend    Göschenen                            Precipitation; maximum ten minute total of the month        201602-201711
order_94067_GOS_rzz150mx_2_data.txt     Data      Göschenen                            Precipitation; maximum ten minute total of the month        201712-201811
order_94067_GOS_rzz150mx_2_legend.txt   Legend    Göschenen                            Precipitation; maximum ten minute total of the month        201712-201811
order_94067_GOS_rzz150mx_3_data.txt     Data      Göschenen                            Precipitation; maximum ten minute total of the month        201812-202103
order_94067_GOS_rzz150mx_3_legend.txt   Legend    Göschenen                            Precipitation; maximum ten minute total of the month        201812-202103
