Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95481

Filename                                Filetype  Station                              Parameter                                                   Period
order_95481_DLEBE_rre003mx_1_data.txt   Data      Ebersberg                            Precipitation; maximum 3-day total of the month             193012-194412
order_95481_DLEBE_rre003mx_1_legend.txt Legend    Ebersberg                            Precipitation; maximum 3-day total of the month             193012-194412
order_95481_DLEBE_rre003mx_2_data.txt   Data      Ebersberg                            Precipitation; maximum 3-day total of the month             194612-197712
order_95481_DLEBE_rre003mx_2_legend.txt Legend    Ebersberg                            Precipitation; maximum 3-day total of the month             194612-197712
order_95481_DLEBE_rre003mx_3_data.txt   Data      Ebersberg                            Precipitation; maximum 3-day total of the month             201606-201805
order_95481_DLEBE_rre003mx_3_legend.txt Legend    Ebersberg                            Precipitation; maximum 3-day total of the month             201606-201805
order_95481_DLEBE_rre003mx_4_data.txt   Data      Ebersberg                            Precipitation; maximum 3-day total of the month             201806-202105
order_95481_DLEBE_rre003mx_4_legend.txt Legend    Ebersberg                            Precipitation; maximum 3-day total of the month             201806-202105
order_95481_EBW_rre003mx_1_data.txt     Data      Ebertswil Hausen                     Precipitation; maximum 3-day total of the month             196012-197503
order_95481_EBW_rre003mx_1_legend.txt   Legend    Ebertswil Hausen                     Precipitation; maximum 3-day total of the month             196012-197503
order_95481_ECH_rre003mx_1_data.txt     Data      Echallens                            Precipitation; maximum 3-day total of the month             193401-202105
order_95481_ECH_rre003mx_1_legend.txt   Legend    Echallens                            Precipitation; maximum 3-day total of the month             193401-202105
order_95481_EGO_rre003mx_1_data.txt     Data      Egolzwil                             Precipitation; maximum 3-day total of the month             197312-202105
order_95481_EGO_rre003mx_1_legend.txt   Legend    Egolzwil                             Precipitation; maximum 3-day total of the month             197312-202105
order_95481_DLEGN_rre003mx_1_data.txt   Data      Engen                                Precipitation; maximum 3-day total of the month             200310-200405
order_95481_DLEGN_rre003mx_1_legend.txt Legend    Engen                                Precipitation; maximum 3-day total of the month             200310-200405
order_95481_EPT_rre003mx_1_data.txt     Data      Eptingen                             Precipitation; maximum 3-day total of the month             190001-202105
order_95481_EPT_rre003mx_1_legend.txt   Legend    Eptingen                             Precipitation; maximum 3-day total of the month             190001-202105
order_95481_KAEPT_rre003mx_1_data.txt   Data      Eptingen                             Precipitation; maximum 3-day total of the month             201811-202012
