Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95668

Filename                                Filetype  Station                              Parameter                                                   Period
order_95668_IYJEN_rhh150mx_1_data.txt   Data      Jenesien                             Precipitation; maximum total per hour of the month          202104-202105
order_95668_IYJEN_rhh150mx_1_legend.txt Legend    Jenesien                             Precipitation; maximum total per hour of the month          202104-202105
order_95668_MMJUF_rhh150mx_1_data.txt   Data      Juf                                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMJUF_rhh150mx_1_legend.txt Legend    Juf                                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_KAS_rhh150mx_1_data.txt     Data      Kandersteg                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_KAS_rhh150mx_1_legend.txt   Legend    Kandersteg                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLKAU_rhh150mx_1_data.txt   Data      Kaufbeuren                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLKAU_rhh150mx_1_legend.txt Legend    Kaufbeuren                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLKEM_rhh150mx_1_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLKEM_rhh150mx_1_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_KIE_rhh150mx_1_data.txt     Data      Kiental                              Precipitation; maximum total per hour of the month          202103-202105
